Display Time,Image Filename,Interval (s),Parent Folder
16:33:05,005_1_0010_1_j.png,0,images
16:33:05,014_0038.png,0,images
16:33:06,054_1_0004_1_j.png,0,images
16:33:06,056_1_0004.png,0,images
16:33:06,035_0042.png,0,images
16:33:06,016_1_0036_1_j.png,0,images
16:33:06,006_0019.png,0,images
16:33:06,012_0020.png,0,images
16:33:07,028_0144.png,0,images
16:33:07,030_1_0006_1_j.png,0,images
16:33:07,012_1_0007.png,0,images
16:33:07,001_1_0007.png,0,images
16:33:07,043_0049.png,0,images
16:33:07,036_0016.png,0,images
16:33:08,055_1_0034.png,0,images
16:33:08,054_0018.png,0,images
16:33:08,050_1_0006.png,0,images
16:33:08,043_0023.png,0,images
16:33:08,046_1_0008_1_j.png,0,images
16:33:08,056_1_0020.png,0,images
16:33:28,014_1_0039.png,0,images
16:33:28,026_1_0034_1_j.png,0,images
16:33:29,056_0017_j.png,0,images
16:33:29,030_0052.png,0,images
16:33:29,011_1_0019.png,0,images
16:33:29,045_1_0011.png,0,images
16:33:29,012_1_0001_1_j.png,0,images
16:33:29,013_1_0030_1_j.png,0,images
16:33:29,003_1_0011.png,0,images
16:33:29,017_1_0012.png,0,images
16:33:29,011_1_0044.png,0,images
16:33:29,013_0043.png,0,images
16:33:29,005_1_0095.png,0,images
16:33:29,030_1_0051.png,0,images
16:33:29,054_1_0158.png,0,images
16:33:30,016_0015.png,0,images
16:33:30,030_0010_j.png,0,images
16:33:30,029_0005_j.png,0,images
16:33:30,020_0001_j.png,0,images
16:33:30,016_1_0050.png,0,images
16:33:30,040_1_0005.png,0,images
16:33:30,049_0013_j.png,0,images
16:33:30,003_0069.png,0,images
16:33:30,011_0007.png,0,images
16:33:30,026_0015_j.png,0,images
16:33:30,032_0001.png,0,images
16:33:30,026_1_0059_1_j.png,0,images
16:33:30,003_0120.png,0,images
16:33:30,014_0008.png,0,images
16:33:30,005_1_0002.png,0,images
16:33:31,055_1_0004.png,0,images
16:33:31,055_0064.png,0,images
16:33:31,050_0009.png,0,images
16:33:31,028_1_0088.png,0,images
16:33:31,038_1_0004_1_j.png,0,images
16:33:31,000_1_0008.png,0,images
16:33:31,035_0062.png,0,images
16:33:31,011_0003.png,0,images
16:33:31,037_1_0014_1_j.png,0,images
16:33:31,007_1_0045.png,0,images
16:33:31,012_1_0032.png,0,images
16:33:31,028_1_0020.png,0,images
16:33:31,050_1_0008_1_j.png,0,images
16:33:31,005_0007.png,0,images
16:33:32,044_1_0006.png,0,images
16:33:32,054_0135.png,0,images
16:33:32,007_0072.png,0,images
16:33:32,043_1_0043.png,0,images
16:33:32,000_0048.png,0,images
16:33:32,017_1_0012_1_j.png,0,images
16:33:32,054_0036.png,0,images
16:33:32,029_0020.png,0,images
16:33:32,054_1_0035_1_j.png,0,images
16:33:32,008_1_0002.png,0,images
