Display Time,Image Filename,Interval (s),Parent Folder
16:43:50,028_0037.png,2,images
16:43:52,043_1_0011_1_j.png,2,images
16:43:54,002_0004_j.png,2,images
16:43:56,006_1_0012.png,2,images
16:43:58,056_0003_j.png,2,images
16:44:00,050_1_0020.png,2,images
16:44:02,029_0007_j.png,2,images
16:44:04,002_0007.png,2,images
16:44:06,026_1_0061_1_j.png,2,images
16:44:09,010_0011.png,2,images
16:44:11,035_0062.png,2,images
16:44:13,056_0011_j.png,2,images
16:44:15,007_1_0013_1_j.png,2,images
16:44:17,028_1_0026.png,2,images
16:44:19,000_1_0055.png,2,images
16:44:21,012_1_0039.png,2,images
16:44:23,006_0005_j.png,2,images
16:44:25,013_1_0045.png,2,images
16:44:27,054_1_0023_1_j.png,2,images
16:44:29,026_1_0015_1_j.png,2,images
16:44:31,038_1_0012_1_j.png,0,images
16:44:31,011_0029.png,0,images
16:44:32,055_1_0004_1_j.png,0,images
16:44:32,026_0026_j.png,0,images
16:44:32,028_0070.png,0,images
16:44:32,042_0003_j.png,0,images
16:44:32,026_1_0023.png,0,images
16:44:32,034_0011.png,0,images
16:44:33,003_1_0068.png,0,images
16:44:33,050_0019.png,0,images
